PredictedScore,LOW,D240,BIRD_5,PAR5,GIR_F,ACCURATE,Prediction,Salary,AvgPointsPerGame,odds
Cameron Smith,70.6,7.73,46.61,4.58,78.08,57.03,284.3662349075471,7400.0,78.18,0.019607843137255002
Corey Conners,70.0,8.17,41.2,4.63,81.27,62.99,284.476547762474,6600.0,59.0,0.004975124378109001
Justin Rose,69.33,8.67,54.37,4.53,80.82,66.02,284.5443878177247,10800.0,89.79,0.066666666666667
Paul Casey,69.67,8.94,50.0,4.57,79.27,63.14,284.5494765472716,9000.0,79.1,0.032258064516129
Gary Woodland,69.82,8.08,52.26,4.52,80.3,63.69,284.67245769657256,7500.0,86.62,0.012345679012346
Charl Schwartzel,71.3,7.88,40.22,4.73,72.93,55.19,284.75390154078195,7300.0,47.17,0.0066225165562909995
Zach Johnson,69.35,10.66,42.69,4.63,79.31,63.88,284.78730558810526,6900.0,59.39,0.0066225165562909995
Kevin Tway,70.48,9.06,49.1,4.56,80.65,52.61,284.8502443466314,6400.0,51.92,0.002493765586035
Stewart Cink,70.21,9.74,41.98,4.66,78.6,57.6,284.8947513297427,6500.0,49.45,0.002493765586035
Brandt Snedeker,69.55,11.43,40.83,4.64,76.91,62.79,285.25252036705206,7200.0,70.96,0.013157894736841999
Marc Leishman,70.42,8.67,45.52,4.65,79.29,60.17,285.46734024801503,7800.0,88.4,0.019607843137255002
Alex Noren,70.64,7.73,47.73,4.56,78.12,61.73,285.5625828393163,,,
Webb Simpson,69.82,10.27,46.43,4.54,78.46,62.34,285.5637952616137,7400.0,75.12,0.00990099009901
Patton Kizzire,70.3,10.31,47.67,4.61,80.17,55.59,285.881546973477,6500.0,62.29,0.001996007984032
Jason Day,70.75,8.6,49.52,4.56,77.92,58.32,285.9960247588275,9100.0,75.06,0.027777777777778
Billy Horschel,69.61,9.91,50.2,4.52,79.97,67.8,286.34269593364405,7100.0,66.38,0.007936507936508
Adam Scott,70.17,10.17,43.98,4.64,79.91,62.51,286.5584144304768,8400.0,69.0,0.021739130434783
Brooks Koepka,70.88,8.42,55.49,4.49,80.72,56.85,286.78292801896,9500.0,75.39,0.04761904761904799
Branden Grace,70.77,8.99,43.33,4.64,77.07,63.49,286.9045048905573,7100.0,64.19,0.007936507936508
Si Woo Kim,71.03,9.34,45.09,4.67,73.7,60.68,286.9058517470003,6700.0,76.58,0.012345679012346
Charles Howell III,70.06,10.94,42.86,4.61,81.26,62.59,287.07949107532534,,,
Louis Oosthuizen,71.0,8.59,40.91,4.67,76.12,64.81,287.1509496345723,8100.0,79.6,0.024390243902439
Emiliano Grillo,69.91,10.47,43.57,4.64,76.8,70.16,287.16942802089073,6600.0,73.91,0.004975124378109001
Shane Lowry,71.26,7.61,42.13,4.7,81.38,61.2,287.2223393012125,6700.0,63.67,0.007936507936508
Ian Poulter,70.71,8.88,45.54,4.62,76.81,66.41,287.37574589595823,7600.0,84.95,0.00990099009901
Bryson DeChambeau,70.37,9.95,53.93,4.51,78.75,62.23,287.3863352023672,9300.0,96.5,0.032258064516129
Andrew Landry,71.32,9.2,36.55,4.72,76.91,62.92,287.9942213502464,6600.0,47.81,0.001996007984032
Matt Kuchar,70.21,11.92,40.63,4.66,79.8,63.27,288.0922291865044,7900.0,89.9,0.027777777777778
Jimmy Walker,71.3,11.41,45.0,4.74,75.13,53.49,288.1619132530234,6600.0,55.59,0.00398406374502
Rafa Cabrera Bello,69.95,11.46,44.71,4.61,79.91,67.85,288.2474237694615,,,
Henrik Stenson,69.83,9.93,48.81,4.55,80.03,75.19,288.45525757382853,7600.0,49.81,0.015151515151515
Xander Schauffele,71.71,8.4,50.36,4.61,75.86,59.77,288.5356166944507,8500.0,88.8,0.024390243902439
Keegan Bradley,70.55,9.32,47.39,4.57,82.58,67.9,288.71564482974156,7000.0,72.62,0.007936507936508
Michael Kim,71.33,12.2,40.65,4.67,74.03,54.89,288.7350541043792,6300.0,36.89,0.00133155792277
Kevin Na,69.63,14.49,44.92,4.62,78.17,64.13,288.91677414569347,6500.0,56.56,0.00398406374502
Kyle Stanley,70.59,10.08,45.11,4.64,80.66,71.29,289.72500245602794,6700.0,46.96,0.0028490028490029996
Kiradech Aphibarnrat,71.8,9.87,45.45,4.64,72.27,65.12,290.2518682360163,6700.0,52.4,0.00398406374502
Kevin Kisner,71.32,11.82,45.54,4.58,75.58,66.33,291.4125303760226,6700.0,69.45,0.015151515151515
Satoshi Kodaira,71.94,13.21,34.62,4.78,72.69,65.53,292.92414816630514,6300.0,46.33,0.001996007984032
